id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,faturamento
163,2024-03-16,Cliente_023,Tablet,Celulares,Sudeste,8.0,2018.87,16150.96
167,2024-03-03,Cliente_008,Notebook,Computadores,Centro-Oeste,6.0,3224.52,19347.12
171,2024-11-17,Cliente_023,Tablet,Celulares,Norte,4.0,1925.79,7703.16
172,2024-12-16,Cliente_005,Tablet,Celulares,Centro-Oeste,3.0,1978.41,5935.2300000000005
173,2024-04-12,Cliente_035,Notebook,Computadores,Centro-Oeste,5.0,3186.67,15933.35
176,2024-02-12,Cliente_035,Tablet,Celulares,Nordeste,9.0,1674.03,15066.27
179,2024-12-13,Cliente_029,Mouse,Periféricos,Sudeste,7.0,1209.295,8465.065
181,2024-02-09,Cliente_016,Tablet,Celulares,Sudeste,6.0,1769.73,10618.380000000001
182,2024-07-17,Cliente_014,Notebook,Computadores,Norte,3.0,3499.0,10497.0
183,2024-03-10,Cliente_006,Tablet,Celulares,Nordeste,8.0,1638.1,13104.8
188,2024-10-09,Cliente_004,Tablet,Celulares,Sudeste,3.0,2004.1,6012.299999999999
190,2024-10-09,Cliente_042,Tablet,Celulares,Sul,4.0,1872.93,7491.72
194,2024-08-25,Cliente_047,Smartphone,Celulares,Nordeste,8.0,2144.31,17154.48
198,2024-05-03,Cliente_042,Monitor,Computadores,Centro-Oeste,9.0,1184.6,10661.4
199,2024-02-25,Cliente_024,Tablet,Celulares,Sudeste,9.0,1534.42,13809.78
